Week,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,First Downs,Touchdowns,Fumbles,Interceptions,Conduct,Total Points
3,L.Edwards,NYJ,0,0.0,0.5,0.1,2,0.75,0.0,3,0.75,0.0,0.0,0.36000000000000015,0.25,0.4,-0.25,0,0,-0.0,-0.0,0,7.859999999999999
3,M.Haack,MIA,0,0.4,0.25,0.0,2,0.75,0.0,1,0.0,0.0,0.0,0.25714285714285695,0.125,0.0,-0.25,0,0,-0.0,-0.5,0,4.0321428571428575
3,D.Jones,PHI,0,0.4,0.25,0.1,1,0.0,0.0,0,0.0,0.0,0.0,0.05,0.9,0.5,-0.25,0,0,-0.0,-0.0,0,2.95
3,B.Wing,NYG,0,0.4,0.25,0.1,1,0.0,0.0,1,0.0,0.0,0.0,-0.65,-0.0,0.4,-0.0,0,0,-0.0,-0.0,0,2.5
3,B.Kern,TEN,0,0.4,0.0,0.2,4,2.25,0.0,2,0.0,0.0,0.0,1.1833333333333336,-0.16666666666666663,0.7000000000000001,-0.0,0,0,-0.0,-0.0,0,10.566666666666666
3,J.Ryan,SEA,0,0.4,0.0,0.1,3,0.75,0.0,0,0.0,0.0,0.0,0.35000000000000003,-0.11999999999999994,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,4.779999999999999
3,K.Huber,CIN,0,0.0,0.25,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.43333333333333357,-0.5,0.30000000000000004,-0.25,0,0,-0.0,-0.0,0,3.2333333333333334
3,J.Vogel,GB,0,0.0,0.0,0.1,5,0.75,0.0,2,0.75,0.0,0.0,0.43333333333333357,0.27999999999999997,0.5,-0.0,0,0,-0.0,-0.0,0,9.813333333333333
3,D.Colquitt,KC,0,0.0,0.5,0.0,2,0.75,0.0,3,0.0,0.0,0.0,0.47999999999999976,0.5,0.4,-0.0,0,0,-0.0,-0.0,0,7.63
3,D.Kaser,LAC,0,0.8,0.0,0.0,2,0.75,0.0,2,0.75,0.0,0.0,0.5,0.4,0.2,-0.0,0,0,-0.0,-0.0,0,7.4
3,M.King,OAK,0,0.0,0.5,0.1,5,1.5,0.0,4,0.75,0.0,0.0,0.7714285714285716,0.325,0.2,-0.0,0,0,-0.0,-0.0,0,13.14642857142857
3,T.Way,WAS,0,0.0,0.75,0.0,2,0.0,0.0,3,0.75,0.0,0.0,-0.07999999999999972,0.7000000000000001,0.5,-0.25,0,0,-0.0,-0.0,0,7.37
3,C.Jones,DAL,0,0.0,0.5,0.1,3,0.0,0.0,4,1.5,0.5,0.0,-0.05714285714285694,0.7000000000000001,0.4,-0.0,0,0,-0.0,-0.0,0,10.642857142857142
3,A.Lee,ARI,0,0.0,0.25,0.0,2,0.0,0.0,2,0.75,0.0,0.0,0.01666666666666643,-0.17500000000000002,0.30000000000000004,-0.25,0,0,-0.0,-0.0,0,4.891666666666667
4,J.Vogel,GB,0,0.0,0.0,0.2,2,0.75,0.0,1,0.0,0.0,0.0,0.2600000000000002,0.55,0.5,-0.0,0,0,-0.0,-0.0,0,5.26
4,P.O'Donnell,CHI,0,0.0,0.5,0.0,1,0.0,0.0,2,0.75,0.0,0.0,0.4,0.4,0.2,-0.25,0,0,-0.0,-0.0,0,5.000000000000001
4,M.Haack,MIA,0,0.0,0.5,0.0,0,0.0,0.0,2,0.0,0.0,0.0,-0.11666666666666643,0.033333333333333395,0.0,-0.0,0,0,-0.0,-0.0,0,2.416666666666667
4,T.Morstead,NO,0,0.0,0.0,0.1,1,0.0,0.0,0,0.0,0.0,0.0,0.2,0.45,0.4,-0.25,0,0,-0.0,-0.0,0,1.9
4,M.Bosher,ATL,0,0.0,0.75,0.0,0,0.0,0.0,3,0.75,0.0,0.0,-0.5,0,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,4.3
4,C.Schmidt,BUF,0,0.0,0.25,0.0,1,0.75,0.0,1,0.75,0.5,0.25,0.225,0.5,0.4,-0.0,0,0,-0.0,-0.0,0,5.625
4,S.Koch,BAL,0,0.0,0.25,0.0,1,0.0,0.0,2,0.75,0.5,0.0,-0.060000000000000143,0.15000000000000002,0.1,-0.25,0,0,-0.0,-0.0,0,4.4399999999999995
4,J.Berry,PIT,0,0.0,0.25,0.1,0,0.0,0.0,1,0.0,0.0,0.0,-0.75,0.9,0.4,-0.25,0,0,-0.0,-0.0,0,1.65
4,B.Colquitt,CLE,0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0.0,0.41666666666666646,-0.31666666666666665,0.1,-0.25,0,0,-0.0,-0.0,0,3.9499999999999993
4,K.Huber,CIN,0,0.0,0.25,0.0,2,0.0,0.0,2,0.75,0.0,0.0,0.275,0.7666666666666667,0.5,-0.0,0,0,-0.0,-0.0,0,6.541666666666667
4,J.Hekker,LA,0,0.0,0.0,0.0,1,0.75,0.0,2,0.0,0.0,0.0,0.9,0.9,0.9,-0.0,0,0,-0.0,-0.0,0,6.450000000000001
4,C.Jones,DAL,0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.2,0.2333333333333333,0.4,-0.0,0,0,-0.0,-0.0,0,2.8333333333333335
4,B.Kern,TEN,0,0.0,0.25,0.1,2,0.0,0.0,1,0.0,0.0,0.0,0.4200000000000003,0.7666666666666667,0.2,-0.0,0,0,-0.0,-0.0,0,4.736666666666667
4,S.Lechler,HOU,0,0.0,0.0,0.0,2,1.5,0.0,1,0.75,0.0,0.0,1.6,0.6000000000000001,0.8,-0.25,0,0,-0.0,-0.0,0,8.0
4,J.Locke,DET,0,0.0,0.5,0.0,2,0.0,0.0,3,0.75,0.0,0.0,0.14285714285714307,0.5,0.2,-0.25,0,0,-0.0,-0.0,0,6.842857142857143
4,R.Quigley,MIN,0,0.0,0.5,0.30000000000000004,1,0.0,0.0,2,0.75,0.0,0.0,-0.47999999999999976,0,0.1,-0.25,0,0,-0.0,-0.0,0,3.92
4,R.Allen,NE,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.35000000000000003,0.6000000000000001,-0.0,0,0,-0.0,-0.0,0,0.25000000000000006
4,M.Palardy,CAR,0,0.0,0.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-1.0,0,0.5,-0.25,0,0,-0.0,-0.0,0,-0.5
4,L.Edwards,NYJ,0,0.4,0.75,0.1,1,0.75,0.5,3,0.75,0.0,0.0,-0.13333333333333358,0.9,0.5,-0.25,3,0,-0.0,-0.0,0,11.266666666666666
4,B.Nortman,JAX,0,0.0,1.25,0.1,3,0.75,0.0,5,2.25,0.5,0.0,0.0125,0.2,0.30000000000000004,-0.25,0,0,-0.0,-0.0,0,13.112499999999999
4,B.Pinion,SF,0,0.0,0.75,0.0,5,0.0,0.0,3,0.0,0.0,0.0,0.5142857142857146,0.6000000000000001,0.5,-0.0,0,0,-0.0,-0.0,0,10.364285714285714
4,A.Lee,ARI,0,0.0,0.25,0.1,4,1.5,0.0,2,0.0,0.0,0.0,0.3833333333333336,-0.125,0.4,-0.0,0,0,-0.0,-0.0,0,8.508333333333333
4,D.Kaser,LAC,0,0.4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0.0,0.275,0.4,0.4,-0.0,0,0,-0.0,-0.0,0,5.475000000000001
4,D.Jones,PHI,0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.25,0.75,0.6000000000000001,-0.0,0,0,-0.0,-0.0,0,4.6
4,B.Wing,NYG,0,0.4,0.0,0.1,1,0.0,0.0,0,0.0,0.0,0.0,-0.4,0.1,0.30000000000000004,-0.25,0,0,-0.0,-0.0,0,1.2500000000000002
4,B.Anger,TB,0,0.0,0.25,0.1,2,0.75,0.0,2,0.75,0.5,0.0,0.47500000000000003,0,0.30000000000000004,-0.75,0,0,-0.0,-0.0,0,6.374999999999999
4,R.Dixon,DEN,0,0.0,0.25,0.1,2,0.0,0.0,3,1.5,0.5,0.25,0.01666666666666643,0.5,0.4,-0.25,0,0,-0.0,-0.0,0,8.266666666666667
4,M.King,OAK,0,0.0,0.0,0.2,3,0.0,0.0,2,0.75,0.0,0.0,0.6000000000000001,-0.05,0.2,-0.0,0,0,-0.0,-0.0,5,11.700000000000001
4,R.Sanchez,IND,0,0.0,0.5,0.1,1,0.75,0.0,2,1.5,0.5,0.25,-0.3333333333333336,0,0.2,-0.0,0,0,-0.0,-0.0,0,6.466666666666666
4,J.Ryan,SEA,0,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,-1.0,0,0.4,-0.25,0,0,-0.0,-0.0,0,0.4
4,D.Colquitt,KC,0,0.4,0.25,0.1,0,0.0,0.0,1,0.0,0.0,0.0,-1.0,0,0.5,-0.25,0,0,-0.0,-0.0,0,1.0
4,T.Way,WAS,0,0.4,0.5,0.0,2,0.0,0.0,2,0.0,0.0,0.0,-0.275,0.9,0.4,-0.0,0,0,-0.0,-0.0,0,5.925000000000001
5,B.Anger,TB,0,0.0,0.25,0.1,3,0.0,0.0,3,0.75,0.5,0.0,0.01666666666666643,-0.8,0.2,-0.75,0,0,-0.0,-0.0,0,6.266666666666667
5,R.Allen,NE,0,0.0,0.0,0.0,3,0.0,0.0,1,0.75,0.5,0.0,0.2,-0.06666666666666661,0.5,-0.0,0,0,-0.0,-0.0,0,5.883333333333334
5,K.Huber,CIN,0,0.0,0.0,0.1,0,0.0,0.0,3,0.0,0.0,0.0,0.17500000000000002,-1.1500000000000001,0.4,-0.0,0,0,-0.0,-0.0,0,2.525
5,C.Schmidt,BUF,0,0.8,0.25,0.0,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.8,0.4,-0.0,0,0,-0.0,-0.0,0,7.25
5,L.Edwards,NYJ,0,0.4,0.25,0.1,3,1.5,0.0,1,0.0,0.0,0.0,0.65,-0.5,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,6.7
5,B.Colquitt,CLE,0,0.0,0.0,0.0,2,0.75,0.0,0,0.0,0.0,0.0,1.1500000000000001,0.1,0.2,-0.5,0,0,-0.0,-0.0,0,3.7
5,J.Locke,DET,0,0.0,0.5,0.2,1,0.0,0.0,1,0.0,0.0,0.0,-0.3799999999999997,-0.4,0.4,-0.0,0,0,-0.0,-0.0,0,2.3200000000000003
